,number,value,datetime_start,datetime_complete,duration,params_Tu,params_Tv,system_attrs_fail_reason,state
0,0,1495058190.3012757,2022-01-14 10:22:22.313821,2022-01-14 10:22:23.241464,0 days 00:00:00.927643,71.20495399268951,92754932.74669737,,COMPLETE
1,1,1244550837.261839,2022-01-14 10:22:23.391181,2022-01-14 10:22:24.352857,0 days 00:00:00.961676,40.10948843839285,77213726.6643103,,COMPLETE
2,2,941347864.0363277,2022-01-14 10:22:24.500482,2022-01-14 10:22:42.927973,0 days 00:00:18.427491,6.086503526930006,58403165.01165644,,COMPLETE
3,3,908548728.7494524,2022-01-14 10:22:43.098960,2022-01-14 10:22:43.811258,0 days 00:00:00.712298,95.55074385044114,56366055.11852471,,COMPLETE
4,4,137812032.49045885,2022-01-14 10:22:43.933356,2022-01-14 10:22:44.901245,0 days 00:00:00.967889,42.13113640354686,8549310.289483132,,COMPLETE
5,5,204983420.77319315,2022-01-14 10:22:45.021767,2022-01-14 10:22:45.905869,0 days 00:00:00.884102,55.45628174906838,12716424.35551894,,COMPLETE
6,6,24875014.73122336,2022-01-14 10:22:46.040508,2022-01-14 10:22:47.033064,0 days 00:00:00.992556,40.31449670729077,1542510.1005024514,,COMPLETE
7,7,700217672.4747436,2022-01-14 10:22:47.139285,2022-01-14 10:22:50.481772,0 days 00:00:03.342487,22.05089282495211,43442628.81760275,,COMPLETE
8,8,885911187.9394511,2022-01-14 10:22:50.598611,2022-01-14 10:22:53.462634,0 days 00:00:02.864023,12.564372754773522,54963664.76183998,,COMPLETE
9,9,1236951199.6644106,2022-01-14 10:22:53.581551,2022-01-14 10:22:54.408600,0 days 00:00:00.827049,49.514741909825126,76741990.97481528,,COMPLETE
10,10,471213926.9273912,2022-01-14 10:22:54.527259,2022-01-14 10:22:55.229631,0 days 00:00:00.702372,83.71153236382045,29233199.394549754,,COMPLETE
11,11,28950304.076996688,2022-01-14 10:22:55.325009,2022-01-14 10:22:56.377040,0 days 00:00:01.052031,32.29611900443655,1795552.7742814496,,COMPLETE
12,12,11951818.954436827,2022-01-14 10:22:56.502443,2022-01-14 10:22:58.036602,0 days 00:00:01.534159,25.7866890544621,741096.5998996021,,COMPLETE
13,13,353544969.5419857,2022-01-14 10:22:58.150982,2022-01-14 10:22:59.800057,0 days 00:00:01.649075,25.101617088827307,21934259.771072727,,COMPLETE
14,14,16515116.710163383,2022-01-14 10:22:59.923437,2022-01-14 10:23:00.748845,0 days 00:00:00.825408,62.23081471110588,1023289.0800172803,,COMPLETE
15,15,566018061.7098181,2022-01-14 10:23:00.870314,2022-01-14 10:23:01.590417,0 days 00:00:00.720103,63.41798247193871,35115558.552412555,,COMPLETE
16,16,285484439.67430025,2022-01-14 10:23:01.732844,2022-01-14 10:23:02.434231,0 days 00:00:00.701387,77.05005960747721,17710326.647369348,,COMPLETE
17,17,11032281.562196415,2022-01-14 10:23:02.568368,2022-01-14 10:23:03.404826,0 days 00:00:00.836458,61.72002832018615,683135.5802407096,,COMPLETE
18,18,426011845.94794536,2022-01-14 10:23:03.519112,2022-01-14 10:23:04.244869,0 days 00:00:00.725757,98.42236833225454,26428395.81162958,,COMPLETE
19,19,649340836.7346778,2022-01-14 10:23:04.403987,2022-01-14 10:23:22.382642,0 days 00:00:17.978655,0.5542074645040174,40286496.58355808,,COMPLETE
20,20,157075344.20123115,2022-01-14 10:23:22.506041,2022-01-14 10:23:24.343018,0 days 00:00:01.836977,24.450288720061664,9744894.261431243,,COMPLETE
21,21,17038411.41115305,2022-01-14 10:23:24.484332,2022-01-14 10:23:25.339717,0 days 00:00:00.855385,61.149295599375904,1055782.7864160687,,COMPLETE
22,22,34450030.04670591,2022-01-14 10:23:25.458297,2022-01-14 10:23:26.184584,0 days 00:00:00.726287,69.48418709796924,2135824.3283846797,,COMPLETE
23,23,255596465.41917613,2022-01-14 10:23:26.307296,2022-01-14 10:23:27.156980,0 days 00:00:00.849684,51.48285484352539,15856663.094219096,,COMPLETE
24,24,132422183.4199895,2022-01-14 10:23:27.319236,2022-01-14 10:23:28.075562,0 days 00:00:00.756326,87.70260869346352,8213757.532313153,,COMPLETE
25,25,13888922.100453043,2022-01-14 10:23:28.230723,2022-01-14 10:23:29.218063,0 days 00:00:00.987340,60.36240970947729,860401.8974493106,,COMPLETE
26,26,329653568.0740445,2022-01-14 10:23:29.383930,2022-01-14 10:23:30.522532,0 days 00:00:01.138602,44.78995073836523,20451488.640467003,,COMPLETE
27,27,477269431.0438839,2022-01-14 10:23:30.670420,2022-01-14 10:23:31.566358,0 days 00:00:00.895938,55.872550062001785,29609601.1974809,,COMPLETE
28,28,90966149.73779897,2022-01-14 10:23:31.748179,2022-01-14 10:23:32.631692,0 days 00:00:00.883513,70.45188231416934,5642176.791481066,,COMPLETE
29,29,1599859141.4986186,2022-01-14 10:23:32.796762,2022-01-14 10:23:34.067300,0 days 00:00:01.270538,31.922029849086954,99257996.51213959,,COMPLETE
30,30,1070026644.8192714,2022-01-14 10:23:34.482763,2022-01-14 10:23:35.785147,0 days 00:00:01.302384,76.35828434430883,66384965.68918481,,COMPLETE
31,31,868948.5825896447,2022-01-14 10:23:35.951384,2022-01-14 10:23:37.917368,0 days 00:00:01.965984,62.078228264111175,52571.78913513385,,COMPLETE
32,32,214351691.46436578,2022-01-14 10:23:38.285566,2022-01-14 10:23:39.791011,0 days 00:00:01.505445,67.60219636147791,13297343.316362426,,COMPLETE
33,33,99431831.68621352,2022-01-14 10:23:40.175532,2022-01-14 10:23:41.399997,0 days 00:00:01.224465,57.111438846942264,6167743.433398858,,COMPLETE
34,34,16685301.793671759,2022-01-14 10:23:41.876071,2022-01-14 10:23:42.927297,0 days 00:00:01.051226,77.80686895099683,1033452.816410893,,COMPLETE
35,35,363082676.48448205,2022-01-14 10:23:43.330893,2022-01-14 10:23:45.170877,0 days 00:00:01.839984,50.44542756184156,22525356.30318105,,COMPLETE
36,36,201305179.08837968,2022-01-14 10:23:45.775414,2022-01-14 10:23:47.457476,0 days 00:00:01.682062,47.072339810713096,12488431.18899608,,COMPLETE
37,37,105015978.57983369,2022-01-14 10:23:47.976039,2022-01-14 10:23:49.050318,0 days 00:00:01.074279,63.73469394820889,6514027.540789102,,COMPLETE
38,38,1420359769.5264208,2022-01-14 10:23:50.064497,2022-01-14 10:23:52.732164,0 days 00:00:02.667667,35.58962089110677,88121391.13488902,,COMPLETE
39,39,516660.0125376632,2022-01-14 10:23:53.315207,2022-01-14 10:24:00.167547,0 days 00:00:06.852340,9.0474294484637,32001.63484825194,,COMPLETE
40,40,257286420.50288668,2022-01-14 10:24:01.754604,2022-01-14 10:24:08.464298,0 days 00:00:06.709694,10.239574928054276,15962507.943644285,,COMPLETE
41,41,84417252.9224386,2022-01-14 10:24:08.838671,2022-01-14 10:24:11.470725,0 days 00:00:02.632054,13.552642888211594,5237300.2401672155,,COMPLETE
42,42,5902531.739179296,2022-01-14 10:24:11.925946,2022-01-14 10:24:20.703563,0 days 00:00:08.777617,0.8892957352331372,366253.03544576996,,COMPLETE
